text,audio
Det är kul men det är ju bilarnas ägare som belönas och inte konstnären.,"[3.0517578e-05 3.9672852e-04 2.1362305e-04 ... 1.0070801e-03 9.7656250e-04
 8.2397461e-04]"
Han funderar över sin situation och konstaterar att han sitter på ett kontrakt som är värt väldigt mycket pengar.,"[ 2.1362305e-04  9.1552734e-05 -1.5258789e-04 ...  9.1552734e-05
 -3.0517578e-05  6.1035156e-05]"
aktier,"[ 0.00192261  0.00183105  0.00134277 ... -0.00027466 -0.00012207
 -0.00048828]"
De uppskattar att få träffa personer bakom disken som verkligen vet vad kvalificerad ekonomisk rådgivning handlar om.,"[-3.9672852e-04 -7.9345703e-04  3.0517578e-04 ...  6.1035156e-05
  1.5258789e-04  3.6621094e-04]"
fötterna,[0.00308228 0.00292969 0.00302124 ... 0.00018311 0.00027466 0.00027466]
J,[0.00039673 0.00042725 0.00033569 ... 0.00027466 0.00061035 0.00079346]
Vi fick upp en oerhörd fart.,"[-3.9672852e-04 -2.7465820e-04 -7.3242188e-04 ... -3.0517578e-05
  1.5258789e-04  3.3569336e-04]"
Böckerna är skrivna av en ungersk präst eller munk som levde på sjuttonhundratalet.,"[-0.00436401 -0.00405884 -0.00427246 ...  0.00085449  0.00085449
  0.00097656]"
Man vill vara den som man inbillar sig att man kunde ha blivit.,"[-9.1552734e-05 -2.4414062e-04 -2.1362305e-04 ... -9.1552734e-05
 -3.9672852e-04  1.5258789e-04]"
Litet mjukt underlag i går efter de senaste dagarnas snöfall.\Punkt,[0.00039673 0.00030518 0.00045776 ... 0.00039673 0.00018311 0.00021362]
"För oss tjejer var det mest oskyldiga saker, vi fick äta konstig mat och liknande.","[-0.00253296 -0.00161743 -0.00180054 ... -0.00033569 -0.00064087
 -0.00015259]"
Den lilla flickan låste vettskrämd in sig i ett sovrum.,"[-0.00112915 -0.00057983 -0.00018311 ... -0.00018311  0.00015259
 -0.00039673]"
övriga,[0.00033569 0.0005188  0.00039673 ... 0.00021362 0.00015259 0.00027466]
Publiken har blivit kräsnare på vart de väljer att gå ut och dansa.,"[-0.00115967 -0.00119019 -0.00134277 ... -0.00042725  0.
 -0.00045776]"
Hon gjorde en liten konstpaus och böjde sej ner för att knyta sin sko.,"[-1.6479492e-03 -1.4038086e-03 -9.1552734e-04 ... -2.1362305e-04
 -9.1552734e-05 -1.2207031e-04]"
Bruno Lindfors,"[ 0.00064087  0.00061035  0.00073242 ... -0.00018311 -0.00067139
 -0.00048828]"
Arkelstorp,[0.00048828 0.00088501 0.00061035 ... 0.0007019  0.00094604 0.00079346]
I prislistan anges vad det kostar att ta sig till och från flygplatsen.,"[-0.00024414 -0.00039673 -0.0005188  ... -0.00201416 -0.00079346
 -0.00204468]"
F Ö R M I D D A G E N,"[ 0.00045776  0.00076294  0.00057983 ...  0.00039673 -0.00024414
  0.00036621]"
Östen Vestberg,[0.00061035 0.0007019  0.00021362 ... 0.00015259 0.00021362 0.00021362]
Vi använder nostalgi och älskar att spela de gamla grejerna men det är bara ett verktyg för att få fram det nya.,[0.0015564  0.00186157 0.00195312 ... 0.00033569 0.00021362 0.00012207]
De har också starkt motsatt sig den massiva utplundringen av statens tillgångar.,"[ 0.0000000e+00 -1.8310547e-04  9.1552734e-05 ...  9.4604492e-04
  9.1552734e-04  8.5449219e-04]"
Han var nöjd med sig själv.,"[-3.3569336e-04 -1.2207031e-04  0.0000000e+00 ...  3.9672852e-04
 -3.0517578e-05  1.2207031e-04]"
